image,event,date,second,milisecond,tweek,f_min<2kHz
ch2_20141130_000500_988_s122-T1.jpg,1,20141130_000500,122,990,1,1
ch2_20141130_000500_988_s125-T1.jpg,1,20141130_000500,125,690,1,1
ch2_20141130_000500_988_s128-T1.jpg,1,20141130_000500,128,738,1,1
ch2_20141130_000500_988_s128-T2.jpg,2,20141130_000500,128,912,1,1
ch2_20141130_000500_988_s129-T1.jpg,1,20141130_000500,129,18,1,1
ch2_20141130_000500_988_s134-T1.jpg,1,20141130_000500,134,668,1,0
ch2_20141130_000500_988_s37-T1.jpg,1,20141130_000500,37,359,1,0
ch2_20141130_000500_988_s53-T1.jpg,1,20141130_000500,53,241,1,0
ch2_20141130_000500_988_s53-T2.jpg,2,20141130_000500,53,365,1,0
ch2_20141130_000500_988_s81-T1.jpg,1,20141130_000500,81,975,1,0
ch2_20141130_000500_988_s82-T1.jpg,1,20141130_000500,82,393,1,1
ch2_20141130_000500_988_s82-T2.jpg,2,20141130_000500,82,766,1,0
ch2_20141130_001001_132_s108-T1.jpg,1,20141130_001001,108,583,1,1
ch2_20141130_001001_132_s108-T2.jpg,2,20141130_001001,108,741,1,1
ch2_20141130_001001_132_s108-T3.jpg,3,20141130_001001,108,909,1,1
ch2_20141130_001001_132_s108-T4.jpg,4,20141130_001001,108,936,1,1
ch2_20141130_001001_132_s22-T1.jpg,1,20141130_001001,22,600,1,1
ch2_20141130_001001_132_s44-T1.jpg,1,20141130_001001,44,324,1,1
ch2_20141130_001001_132_s44-T2.jpg,2,20141130_001001,44,386,1,1
ch2_20141130_001001_132_s71-T1.jpg,1,20141130_001001,71,5,1,1
ch2_20141130_001001_132_s71-T2.jpg,2,20141130_001001,71,244,1,1
ch2_20141130_001001_132_s71-T3.jpg,3,20141130_001001,71,268,1,0
ch2_20141130_001001_132_s72-T1.jpg,1,20141130_001001,72,616,1,0
ch2_20141130_001001_132_s78-T1.jpg,1,20141130_001001,78,505,1,1
ch2_20141130_001001_132_s78-T2.jpg,2,20141130_001001,78,698,1,1
ch2_20141130_001501_274_s14-T1.jpg,1,20141130_001501,14,610,1,0
ch2_20141130_001501_274_s26-T1.jpg,1,20141130_001501,26,835,1,1
ch2_20141130_001501_274_s27-T1.jpg,1,20141130_001501,27,117,1,1
ch2_20141130_001501_274_s27-T2.jpg,2,20141130_001501,27,317,1,1
ch2_20141130_001501_274_s39-T1.jpg,1,20141130_001501,39,342,1,1
ch2_20141130_001501_274_s39-T2.jpg,2,20141130_001501,39,916,1,1
ch2_20141130_001501_274_s39-T3.jpg,3,20141130_001501,39,963,1,0
ch2_20141130_001501_274_s93-T1.jpg,1,20141130_001501,93,687,1,0
ch2_20141130_002001_413_s123-T1.jpg,1,20141130_002001,123,728,1,0
ch2_20141130_002001_413_s123-T2.jpg,2,20141130_002001,123,809,1,1
ch2_20141130_002001_413_s123-T3.jpg,3,20141130_002001,123,850,1,1
ch2_20141130_002001_413_s137-T1.jpg,1,20141130_002001,137,697,1,0
ch2_20141130_002001_413_s34-T1.jpg,1,20141130_002001,34,543,1,1
ch2_20141130_002001_413_s34-T2.jpg,2,20141130_002001,34,868,1,1
ch2_20141130_002001_413_s34-T3.jpg,3,20141130_002001,34,894,1,1
ch2_20141130_002001_413_s48-T1.jpg,1,20141130_002001,48,837,1,1
ch2_20141130_002501_556_s133-T1.jpg,1,20141130_002501,133,17,1,1
ch2_20141130_002501_556_s42-T1.jpg,1,20141130_002501,42,660,1,1
ch2_20141130_002501_556_s54-T1.jpg,1,20141130_002501,54,293,1,1
ch2_20141130_002501_556_s70-T1.jpg,1,20141130_002501,70,511,1,1
ch2_20141130_002501_556_s72-T1.jpg,1,20141130_002501,72,802,1,1
ch2_20141130_003001_700_s132-T1.jpg,1,20141130_003001,132,602,1,1
ch2_20141130_003501_842_s106-T1.jpg,1,20141130_003501,106,187,1,1
ch2_20141130_003501_842_s106-T2.jpg,2,20141130_003501,106,220,1,1
ch2_20141130_003501_842_s140-T1.jpg,1,20141130_003501,140,414,1,1
ch2_20141130_003501_842_s48-T1.jpg,1,20141130_003501,48,661,1,1
ch2_20141130_003501_842_s76-T1.jpg,1,20141130_003501,76,554,1,1
ch2_20141130_003501_842_s80-T1.jpg,1,20141130_003501,80,125,1,0
ch2_20141130_004001_988_s104-T1.jpg,1,20141130_004001,104,560,1,1
ch2_20141130_004001_988_s105-T1.jpg,1,20141130_004001,105,70,1,1
ch2_20141130_004001_988_s105-T2.jpg,2,20141130_004001,105,350,1,1
ch2_20141130_004001_988_s138-T1.jpg,1,20141130_004001,138,389,1,1
ch2_20141130_004001_988_s139-T1.jpg,1,20141130_004001,139,274,1,1
ch2_20141130_004001_988_s35-T1.jpg,1,20141130_004001,35,460,1,0
ch2_20141130_004001_988_s35-T2.jpg,2,20141130_004001,35,490,1,0
ch2_20141130_004502_130_s115-T1.jpg,1,20141130_004502,115,733,1,1
ch2_20141130_004502_130_s115-T2.jpg,2,20141130_004502,115,859,1,1
ch2_20141130_004502_130_s115-T3.jpg,3,20141130_004502,115,969,1,1
ch2_20141130_004502_130_s116-T1.jpg,1,20141130_004502,116,248,1,1
ch2_20141130_004502_130_s116-T2.jpg,2,20141130_004502,116,365,1,1
ch2_20141130_004502_130_s125-T1.jpg,1,20141130_004502,125,768,1,1
ch2_20141130_004502_130_s125-T2.jpg,2,20141130_004502,125,874,1,1
ch2_20141130_004502_130_s126-T1.jpg,1,20141130_004502,126,350,1,0
ch2_20141130_004502_130_s126-T2.jpg,2,20141130_004502,126,497,1,1
ch2_20141130_004502_130_s79-T1.jpg,1,20141130_004502,79,272,1,0
ch2_20141130_004502_130_s85-T1.jpg,1,20141130_004502,85,797,1,1
ch2_20141130_004502_130_s85-T2.jpg,2,20141130_004502,85,846,1,1
ch2_20141130_005002_271_s127-T1.jpg,1,20141130_005002,127,975,1,0
ch2_20141130_005002_271_s128-T1.jpg,1,20141130_005002,128,3,1,0
ch2_20141130_005002_271_s27-T1.jpg,1,20141130_005002,27,937,1,0
ch2_20141130_005002_271_s69-T1.jpg,1,20141130_005002,69,887,1,0
ch2_20141130_005502_413_s127-T1.jpg,1,20141130_005502,127,567,1,1
ch2_20141130_005502_413_s141-T1.jpg,1,20141130_005502,141,599,1,1
ch2_20141130_005502_413_s141-T2.jpg,2,20141130_005502,141,599,1,0
ch2_20141130_005502_413_s18-T1.jpg,1,20141130_005502,18,837,1,0
ch2_20141130_005502_413_s43-T1.jpg,1,20141130_005502,43,96,1,0
ch2_20141130_005502_413_s43-T2.jpg,2,20141130_005502,43,583,1,0
ch2_20141130_005502_413_s50-T1.jpg,1,20141130_005502,50,328,1,1
ch2_20141130_005502_413_s66-T1.jpg,1,20141130_005502,66,236,1,1
ch2_20141130_005502_413_s8-T1.jpg,1,20141130_005502,8,53,1,1
ch2_20141130_005502_413_s8-T2.jpg,2,20141130_005502,8,379,1,0
ch2_20141130_010002_554_s12-T1.jpg,1,20141130_010002,12,731,1,1
ch2_20141130_010002_554_s12-T2.jpg,2,20141130_010002,12,751,1,0
ch2_20141130_010002_554_s123-T1.jpg,1,20141130_010002,123,123,1,1
ch2_20141130_010002_554_s123-T2.jpg,2,20141130_010002,123,147,1,1
ch2_20141130_010002_554_s123-T3.jpg,3,20141130_010002,123,169,1,1
ch2_20141130_010002_554_s123-T4.jpg,4,20141130_010002,123,201,1,1
ch2_20141130_010002_554_s143-T1.jpg,1,20141130_010002,143,63,1,1
ch2_20141130_010002_554_s143-T2.jpg,2,20141130_010002,143,276,1,1
ch2_20141130_010002_554_s2-T1.jpg,1,20141130_010002,2,169,1,1
ch2_20141130_010002_554_s44-T1.jpg,1,20141130_010002,44,403,1,1
ch2_20141130_010002_554_s49-T1.jpg,1,20141130_010002,49,776,1,0
ch2_20141130_010502_692_s123-T1.jpg,1,20141130_010502,123,527,1,1
ch2_20141130_010502_692_s123-T2.jpg,2,20141130_010502,123,559,1,0
ch2_20141130_010502_692_s136-T1.jpg,1,20141130_010502,136,322,1,0
ch2_20141130_010502_692_s15-T1.jpg,1,20141130_010502,15,598,1,1
ch2_20141130_010502_692_s15-T2.jpg,2,20141130_010502,15,963,1,0
ch2_20141130_010502_692_s51-T1.jpg,1,20141130_010502,51,341,1,0
ch2_20141130_010502_692_s54-T1.jpg,1,20141130_010502,54,461,1,0
ch2_20141130_010502_692_s54-T2.jpg,2,20141130_010502,54,757,1,0
ch2_20141130_010502_692_s86-T1.jpg,1,20141130_010502,86,139,1,1
ch2_20141130_010502_692_s99-T1.jpg,1,20141130_010502,99,609,1,0
ch2_20141130_011002_838_s110-T1.jpg,1,20141130_011002,110,81,1,1
ch2_20141130_011002_838_s137-T1.jpg,1,20141130_011002,137,30,1,1
ch2_20141130_011002_838_s33-T1.jpg,1,20141130_011002,33,526,1,0
ch2_20141130_011002_838_s90-T1.jpg,1,20141130_011002,90,978,1,1
ch2_20141130_011502_979_s141-T1.jpg,1,20141130_011502,141,453,1,1
ch2_20141130_011502_979_s24-T1.jpg,1,20141130_011502,24,315,1,1
ch2_20141130_011502_979_s24-T2.jpg,2,20141130_011502,24,666,1,1
ch2_20141130_011502_979_s63-T1.jpg,1,20141130_011502,63,329,1,1
ch2_20141130_011502_979_s63-T2.jpg,2,20141130_011502,63,355,1,1
ch2_20141130_011502_979_s63-T3.jpg,3,20141130_011502,63,367,1,1
ch2_20141130_011502_979_s63-T4.jpg,4,20141130_011502,63,590,1,0
ch2_20141130_012003_123_s113-T1.jpg,1,20141130_012003,113,493,1,1
ch2_20141130_012003_123_s113-T2.jpg,2,20141130_012003,113,654,1,1
ch2_20141130_012003_123_s114-T1.jpg,1,20141130_012003,114,80,1,1
ch2_20141130_012003_123_s116-T1.jpg,1,20141130_012003,116,839,1,1
ch2_20141130_012003_123_s28-T1.jpg,1,20141130_012003,28,960,1,1
ch2_20141130_012003_123_s52-T1.jpg,1,20141130_012003,52,483,1,1
ch2_20141130_012003_123_s99-T1.jpg,1,20141130_012003,99,828,1,1
ch2_20141130_012503_267_s1-T1.jpg,1,20141130_012503,1,956,1,0
ch2_20141130_012503_267_s100-T1.jpg,1,20141130_012503,100,355,1,1
ch2_20141130_012503_267_s124-T1.jpg,1,20141130_012503,124,18,1,1
ch2_20141130_012503_267_s31-T1.jpg,1,20141130_012503,31,436,1,1
ch2_20141130_012503_267_s31-T2.jpg,2,20141130_012503,31,530,1,1
ch2_20141130_012503_267_s47-T1.jpg,1,20141130_012503,47,817,1,1
ch2_20141130_012503_267_s72-T1.jpg,1,20141130_012503,72,769,1,0
ch2_20141130_012503_267_s73-T1.jpg,1,20141130_012503,73,394,1,1
ch2_20141130_013003_409_s64-T1.jpg,1,20141130_013003,64,565,1,1
ch2_20141130_013003_409_s72-T1.jpg,1,20141130_013003,72,61,1,1
ch2_20141130_013003_409_s72-T2.jpg,2,20141130_013003,72,197,1,0
ch2_20141130_013003_409_s72-T3.jpg,3,20141130_013003,72,365,1,1
ch2_20141130_013003_409_s99-T1.jpg,1,20141130_013003,99,221,1,1
ch2_20141130_013503_553_s104-T1.jpg,1,20141130_013503,104,595,1,0
ch2_20141130_013503_553_s12-T1.jpg,1,20141130_013503,12,196,1,0
ch2_20141130_013503_553_s12-T2.jpg,2,20141130_013503,12,271,1,0
ch2_20141130_013503_553_s12-T3.jpg,3,20141130_013503,12,554,1,0
ch2_20141130_013503_553_s13-T1.jpg,1,20141130_013503,13,424,1,1
ch2_20141130_013503_553_s36-T1.jpg,1,20141130_013503,36,742,1,1
ch2_20141130_013503_553_s62-T1.jpg,1,20141130_013503,62,568,1,1
ch2_20141130_013503_553_s81-T1.jpg,1,20141130_013503,81,6,1,1
ch2_20141130_013503_553_s87-T1.jpg,1,20141130_013503,87,498,1,1
ch2_20141130_013503_553_s88-T1.jpg,1,20141130_013503,88,18,1,0
