,org_img,image,event,date,second,milisecond,tweek,f_min<2kHz,tweek_sign
0,ch2_20160101_000242_596_s102,ch2_20160101_000242_596_s102-S1.jpg,1,20160101_000242,102,455,0,0,0
1,ch2_20160101_000242_596_s12,ch2_20160101_000242_596_s12-S1.jpg,1,20160101_000242,12,854,0,0,0
2,ch2_20160101_000242_596_s143,ch2_20160101_000242_596_s143-S1.jpg,1,20160101_000242,143,227,0,0,0
3,ch2_20160101_000242_596_s143,ch2_20160101_000242_596_s143-S2.jpg,2,20160101_000242,143,973,0,0,0
4,ch2_20160101_000242_596_s21,ch2_20160101_000242_596_s21-S1.jpg,1,20160101_000242,21,33,0,1,0
5,ch2_20160101_000242_596_s31,ch2_20160101_000242_596_s31-S1.jpg,1,20160101_000242,31,59,0,0,0
6,ch2_20160101_000242_596_s34,ch2_20160101_000242_596_s34-S1.jpg,1,20160101_000242,34,215,0,0,0
7,ch2_20160101_000242_596_s41,ch2_20160101_000242_596_s41-S1.jpg,1,20160101_000242,41,288,0,1,0
8,ch2_20160101_000242_596_s81,ch2_20160101_000242_596_s81-S1.jpg,1,20160101_000242,81,546,0,0,0
9,ch2_20160101_000742_809_s101,ch2_20160101_000742_809_s101-S1.jpg,1,20160101_000742,101,841,0,0,0
10,ch2_20160101_000742_809_s103,ch2_20160101_000742_809_s103-S1.jpg,1,20160101_000742,103,224,0,0,0
11,ch2_20160101_000742_809_s119,ch2_20160101_000742_809_s119-S1.jpg,1,20160101_000742,119,625,0,0,0
12,ch2_20160101_000742_809_s2,ch2_20160101_000742_809_s2-S1.jpg,1,20160101_000742,2,280,0,0,0
13,ch2_20160101_000742_809_s26,ch2_20160101_000742_809_s26-S1.jpg,1,20160101_000742,26,297,0,0,0
14,ch2_20160101_000742_809_s42,ch2_20160101_000742_809_s42-S1.jpg,1,20160101_000742,42,584,0,0,0
15,ch2_20160101_000742_809_s42,ch2_20160101_000742_809_s42-S2.jpg,2,20160101_000742,42,716,0,0,0
16,ch2_20160101_000742_809_s50,ch2_20160101_000742_809_s50-S1.jpg,1,20160101_000742,50,643,0,0,0
17,ch2_20160101_000742_809_s58,ch2_20160101_000742_809_s58-S1.jpg,1,20160101_000742,58,556,0,0,0
18,ch2_20160101_001243_026_s100,ch2_20160101_001243_026_s100-S1.jpg,1,20160101_001243,100,263,0,0,0
19,ch2_20160101_001243_026_s114,ch2_20160101_001243_026_s114-S1.jpg,1,20160101_001243,114,18,0,0,0
20,ch2_20160101_001243_026_s114,ch2_20160101_001243_026_s114-S2.jpg,2,20160101_001243,114,184,0,0,0
21,ch2_20160101_001243_026_s118,ch2_20160101_001243_026_s118-S1.jpg,1,20160101_001243,118,655,0,0,0
22,ch2_20160101_001243_026_s37,ch2_20160101_001243_026_s37-S1.jpg,1,20160101_001243,37,225,0,0,0
23,ch2_20160101_001243_026_s39,ch2_20160101_001243_026_s39-S1.jpg,1,20160101_001243,39,595,0,0,0
24,ch2_20160101_001243_026_s41,ch2_20160101_001243_026_s41-S1.jpg,1,20160101_001243,41,149,0,0,0
25,ch2_20160101_001243_026_s41,ch2_20160101_001243_026_s41-S2.jpg,2,20160101_001243,41,260,0,0,0
26,ch2_20160101_001243_026_s72,ch2_20160101_001243_026_s72-S1.jpg,1,20160101_001243,72,593,0,0,0
27,ch2_20160101_001243_026_s79,ch2_20160101_001243_026_s79-S1.jpg,1,20160101_001243,79,169,0,0,0
28,ch2_20160101_001243_026_s99,ch2_20160101_001243_026_s99-S1.jpg,1,20160101_001243,99,630,0,0,0
29,ch2_20160101_001743_245_s103,ch2_20160101_001743_245_s103-S1.jpg,1,20160101_001743,103,251,0,0,0
30,ch2_20160101_001743_245_s103,ch2_20160101_001743_245_s103-S2.jpg,2,20160101_001743,103,257,0,0,0
31,ch2_20160101_001743_245_s106,ch2_20160101_001743_245_s106-S1.jpg,1,20160101_001743,106,781,0,0,0
32,ch2_20160101_001743_245_s11,ch2_20160101_001743_245_s11-S1.jpg,1,20160101_001743,11,78,0,0,0
33,ch2_20160101_001743_245_s11,ch2_20160101_001743_245_s11-S2.jpg,2,20160101_001743,11,254,0,0,0
34,ch2_20160101_001743_245_s122,ch2_20160101_001743_245_s122-S1.jpg,1,20160101_001743,122,123,0,0,0
35,ch2_20160101_001743_245_s122,ch2_20160101_001743_245_s122-S2.jpg,2,20160101_001743,122,591,0,0,0
36,ch2_20160101_001743_245_s134,ch2_20160101_001743_245_s134-S1.jpg,1,20160101_001743,134,709,0,0,0
37,ch2_20160101_001743_245_s134,ch2_20160101_001743_245_s134-S2.jpg,2,20160101_001743,134,783,0,0,0
38,ch2_20160101_001743_245_s134,ch2_20160101_001743_245_s134-S3.jpg,3,20160101_001743,134,858,0,0,0
39,ch2_20160101_001743_245_s141,ch2_20160101_001743_245_s141-S1.jpg,1,20160101_001743,141,569,0,0,0
40,ch2_20160101_001743_245_s141,ch2_20160101_001743_245_s141-S2.jpg,2,20160101_001743,141,888,0,0,0
41,ch2_20160101_001743_245_s36,ch2_20160101_001743_245_s36-S1.jpg,1,20160101_001743,36,342,0,0,0
42,ch2_20160101_001743_245_s77,ch2_20160101_001743_245_s77-S1.jpg,1,20160101_001743,77,93,0,0,0
43,ch2_20160101_001743_245_s98,ch2_20160101_001743_245_s98-S1.jpg,1,20160101_001743,98,158,0,0,0
44,ch2_20160101_001743_245_s98,ch2_20160101_001743_245_s98-S2.jpg,2,20160101_001743,98,448,0,0,0
45,ch2_20160101_002243_456_s105,ch2_20160101_002243_456_s105-S1.jpg,1,20160101_002243,105,871,0,0,0
46,ch2_20160101_002243_456_s105,ch2_20160101_002243_456_s105-S2.jpg,2,20160101_002243,105,923,0,0,0
47,ch2_20160101_002243_456_s112,ch2_20160101_002243_456_s112-S1.jpg,1,20160101_002243,112,619,0,0,0
48,ch2_20160101_002243_456_s29,ch2_20160101_002243_456_s29-S1.jpg,1,20160101_002243,29,709,0,0,0
49,ch2_20160101_002243_456_s38,ch2_20160101_002243_456_s38-S1.jpg,1,20160101_002243,38,955,0,0,0
50,ch2_20160101_002243_456_s4,ch2_20160101_002243_456_s4-S1.jpg,1,20160101_002243,4,188,0,0,0
