org_img,image,event,date,second,milisecond,tweek,f_min<2kHz,tweek_sign,cluster
ch2_20141130_000500_988_s122,ch2_20141130_000500_988_s122-S1.jpg,1,20141130_000500,122,867,0,0,0,2
ch2_20141130_000500_988_s122,ch2_20141130_000500_988_s122-T1.jpg,1,20141130_000500,122,990,1,1,4,6
ch2_20141130_000500_988_s122,ch2_20141130_000500_988_s122-S2.jpg,2,20141130_000500,122,992,0,1,0,6
ch2_20141130_000500_988_s125,ch2_20141130_000500_988_s125-S1.jpg,1,20141130_000500,125,5,0,1,0,3
ch2_20141130_000500_988_s125,ch2_20141130_000500_988_s125-S2.jpg,2,20141130_000500,125,158,0,0,0,2
ch2_20141130_000500_988_s125,ch2_20141130_000500_988_s125-S3.jpg,3,20141130_000500,125,302,0,1,0,2
ch2_20141130_000500_988_s125,ch2_20141130_000500_988_s125-T1.jpg,1,20141130_000500,125,690,1,1,4,3
ch2_20141130_000500_988_s128,ch2_20141130_000500_988_s128-S1.jpg,1,20141130_000500,128,46,0,0,0,4
ch2_20141130_000500_988_s128,ch2_20141130_000500_988_s128-S2.jpg,2,20141130_000500,128,396,0,1,0,6
ch2_20141130_000500_988_s128,ch2_20141130_000500_988_s128-S3.jpg,3,20141130_000500,128,403,0,0,0,0
ch2_20141130_000500_988_s128,ch2_20141130_000500_988_s128-S4.jpg,4,20141130_000500,128,521,0,0,0,5
ch2_20141130_000500_988_s128,ch2_20141130_000500_988_s128-S5.jpg,5,20141130_000500,128,624,0,1,0,4
ch2_20141130_000500_988_s128,ch2_20141130_000500_988_s128-S6.jpg,6,20141130_000500,128,724,0,1,0,1
ch2_20141130_000500_988_s128,ch2_20141130_000500_988_s128-T1.jpg,1,20141130_000500,128,738,1,1,4,3
ch2_20141130_000500_988_s128,ch2_20141130_000500_988_s128-T2.jpg,2,20141130_000500,128,912,1,1,4,3
ch2_20141130_000500_988_s128,ch2_20141130_000500_988_s128-S8.jpg,8,20141130_000500,128,961,0,0,0,5
ch2_20141130_000500_988_s129,ch2_20141130_000500_988_s129-S1.jpg,1,20141130_000500,129,16,0,1,0,6
ch2_20141130_000500_988_s129,ch2_20141130_000500_988_s129-T1.jpg,1,20141130_000500,129,18,1,1,4,6
ch2_20141130_000500_988_s129,ch2_20141130_000500_988_s129-S3.jpg,3,20141130_000500,129,69,0,0,0,5
ch2_20141130_000500_988_s129,ch2_20141130_000500_988_s129-S4.jpg,4,20141130_000500,129,105,0,0,0,5
ch2_20141130_000500_988_s129,ch2_20141130_000500_988_s129-S5.jpg,5,20141130_000500,129,132,0,1,0,1
ch2_20141130_000500_988_s129,ch2_20141130_000500_988_s129-S6.jpg,6,20141130_000500,129,168,0,1,0,1
ch2_20141130_000500_988_s129,ch2_20141130_000500_988_s129-S7.jpg,7,20141130_000500,129,232,0,1,0,6
ch2_20141130_000500_988_s129,ch2_20141130_000500_988_s129-S8.jpg,8,20141130_000500,129,548,0,0,0,2
ch2_20141130_000500_988_s129,ch2_20141130_000500_988_s129-S9.jpg,9,20141130_000500,129,785,0,0,0,2
ch2_20141130_000500_988_s134,ch2_20141130_000500_988_s134-S1.jpg,1,20141130_000500,134,177,0,0,0,2
ch2_20141130_000500_988_s134,ch2_20141130_000500_988_s134-S2.jpg,2,20141130_000500,134,393,0,1,0,2
ch2_20141130_000500_988_s134,ch2_20141130_000500_988_s134-S3.jpg,3,20141130_000500,134,510,0,1,0,2
ch2_20141130_000500_988_s134,ch2_20141130_000500_988_s134-T1.jpg,1,20141130_000500,134,668,1,0,1,3
ch2_20141130_000500_988_s134,ch2_20141130_000500_988_s134-S5.jpg,5,20141130_000500,134,700,0,1,0,5
ch2_20141130_000500_988_s134,ch2_20141130_000500_988_s134-S6.jpg,6,20141130_000500,134,939,0,0,0,5
ch2_20141130_000500_988_s37,ch2_20141130_000500_988_s37-S1.jpg,1,20141130_000500,37,131,0,0,0,0
ch2_20141130_000500_988_s37,ch2_20141130_000500_988_s37-S2.jpg,2,20141130_000500,37,168,0,0,0,5
ch2_20141130_000500_988_s37,ch2_20141130_000500_988_s37-S3.jpg,3,20141130_000500,37,203,0,0,0,5
ch2_20141130_000500_988_s37,ch2_20141130_000500_988_s37-S4.jpg,4,20141130_000500,37,342,0,1,0,6
ch2_20141130_000500_988_s37,ch2_20141130_000500_988_s37-T1.jpg,1,20141130_000500,37,359,1,0,4,0
ch2_20141130_000500_988_s53,ch2_20141130_000500_988_s53-T1.jpg,1,20141130_000500,53,241,1,0,1,3
ch2_20141130_000500_988_s53,ch2_20141130_000500_988_s53-S2.jpg,2,20141130_000500,53,363,0,0,0,6
ch2_20141130_000500_988_s53,ch2_20141130_000500_988_s53-T2.jpg,2,20141130_000500,53,365,1,0,4,6
ch2_20141130_000500_988_s53,ch2_20141130_000500_988_s53-S3.jpg,3,20141130_000500,53,630,0,0,0,0
ch2_20141130_000500_988_s53,ch2_20141130_000500_988_s53-S4.jpg,4,20141130_000500,53,719,0,0,0,6
ch2_20141130_000500_988_s53,ch2_20141130_000500_988_s53-S5.jpg,5,20141130_000500,53,742,0,0,0,0
ch2_20141130_000500_988_s81,ch2_20141130_000500_988_s81-S1.jpg,1,20141130_000500,81,849,0,0,0,2
ch2_20141130_000500_988_s81,ch2_20141130_000500_988_s81-S2.jpg,2,20141130_000500,81,940,0,1,0,6
ch2_20141130_000500_988_s81,ch2_20141130_000500_988_s81-S3.jpg,3,20141130_000500,81,949,0,0,0,0
ch2_20141130_000500_988_s81,ch2_20141130_000500_988_s81-T1.jpg,1,20141130_000500,81,975,1,0,4,3
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S1.jpg,1,20141130_000500,82,17,0,0,0,5
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S2.jpg,2,20141130_000500,82,68,0,0,0,2
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S3.jpg,3,20141130_000500,82,165,0,0,0,4
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S4.jpg,4,20141130_000500,82,369,0,0,0,1
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S5.jpg,5,20141130_000500,82,381,0,1,0,6
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-T1.jpg,1,20141130_000500,82,393,1,1,4,3
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S7.jpg,7,20141130_000500,82,523,0,0,0,0
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S8.jpg,8,20141130_000500,82,591,0,0,0,5
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S9.jpg,9,20141130_000500,82,641,0,0,0,5
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S10.jpg,10,20141130_000500,82,652,0,0,0,5
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S11.jpg,11,20141130_000500,82,695,0,0,0,5
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S12.jpg,12,20141130_000500,82,736,0,0,0,5
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S13.jpg,13,20141130_000500,82,748,0,0,0,5
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-T2.jpg,2,20141130_000500,82,766,1,0,4,3
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S14.jpg,14,20141130_000500,82,828,0,1,0,5
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S15.jpg,15,20141130_000500,82,847,0,0,0,3
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S16.jpg,16,20141130_000500,82,867,0,0,0,5
ch2_20141130_000500_988_s82,ch2_20141130_000500_988_s82-S17.jpg,17,20141130_000500,82,927,0,0,0,5
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S1.jpg,1,20141130_001001,108,134,0,0,0,2
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S2.jpg,2,20141130_001001,108,276,0,1,0,0
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S3.jpg,3,20141130_001001,108,338,0,0,0,5
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S4.jpg,4,20141130_001001,108,370,0,1,0,0
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S5.jpg,5,20141130_001001,108,465,0,0,0,0
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-T1.jpg,1,20141130_001001,108,583,1,1,1,3
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S7.jpg,7,20141130_001001,108,593,0,0,0,5
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S8.jpg,8,20141130_001001,108,652,0,1,0,5
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S9.jpg,9,20141130_001001,108,699,0,1,0,5
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-T2.jpg,2,20141130_001001,108,741,1,1,3,3
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S10.jpg,10,20141130_001001,108,778,0,0,0,4
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-S11.jpg,11,20141130_001001,108,888,0,0,0,4
ch2_20141130_001001_132_s108,ch2_20141130_001001_132_s108-T3.jpg,3,20141130_001001,108,909,1,1,4,3
