image,xmin,ymin,xmax,ymax,label,tweek_sign
ch1_20150914_130712_016_s55.jpg,1385,0,1399,162,0,0
ch1_20150914_130712_016_s55.jpg,1349,0,1361,162,0,0
ch1_20150914_130712_016_s55.jpg,1128,0,1139,162,0,0
ch1_20150914_130712_016_s55.jpg,1109,0,1122,162,0,0
ch1_20150914_130712_016_s55.jpg,882,0,892,162,0,0
ch1_20150914_130712_016_s55.jpg,834,0,844,162,0,0
ch1_20150914_130712_016_s55.jpg,721,0,730,162,0,0
ch1_20150914_130712_016_s55.jpg,618,0,628,162,0,0
ch1_20150914_130712_016_s55.jpg,57,0,67,162,0,0
ch1_20150914_130712_016_s55.jpg,69,0,77,162,0,0
ch1_20150914_130712_016_s55.jpg,158,0,167,162,0,0
ch1_20150914_130712_016_s55.jpg,219,0,227,162,0,0
ch1_20150914_130712_016_s55.jpg,601,0,611,162,0,0
ch1_20150914_130712_016_s55.jpg,650,0,663,162,0,0
ch1_20170714_160825_818_s90.jpg,1300,0,1309,162,0,0
ch1_20170714_160825_818_s90.jpg,1391,0,1399,162,0,0
ch1_20180615_195005_249_s19.jpg,195,0,203,162,0,0
ch1_20180615_195005_249_s19.jpg,369,0,381,162,0,0
ch1_20180615_195005_249_s19.jpg,449,0,462,162,0,0
ch1_20180615_195005_249_s19.jpg,471,0,483,162,0,0
ch1_20180615_195005_249_s19.jpg,536,0,546,162,0,0
ch1_20180615_195005_249_s19.jpg,688,0,696,162,0,0
ch1_20180615_195005_249_s19.jpg,711,0,728,162,0,0
ch1_20180615_195005_249_s19.jpg,773,0,782,162,0,0
ch1_20180615_195005_249_s19.jpg,930,0,941,162,1,2
ch1_20180615_195005_249_s19.jpg,1185,0,1197,162,0,0
ch1_20180615_195005_249_s19.jpg,1272,0,1283,162,0,0
ch1_20150914_130211_791_s3.jpg,213,0,225,162,0,0
ch1_20150914_130211_791_s3.jpg,264,0,280,162,0,0
ch1_20150914_130211_791_s3.jpg,24,0,34,162,0,0
ch1_20150914_130211_791_s3.jpg,288,0,297,162,0,0
ch1_20150914_130211_791_s3.jpg,299,0,310,162,0,0
ch1_20150914_130211_791_s3.jpg,315,0,325,162,0,0
ch1_20150914_130211_791_s3.jpg,348,0,360,162,0,0
ch1_20150914_130211_791_s3.jpg,498,0,549,162,1,1
ch1_20150914_130211_791_s3.jpg,672,0,684,162,0,0
ch1_20150914_130211_791_s3.jpg,825,0,837,162,0,0
ch1_20150914_130211_791_s3.jpg,901,0,924,162,0,0
ch1_20150914_130211_791_s3.jpg,994,0,1006,162,0,0
ch1_20150914_130211_791_s3.jpg,1042,0,1055,162,0,0
ch1_20150914_130211_791_s3.jpg,1251,0,1259,162,0,0
ch1_20150914_130211_791_s3.jpg,1316,0,1329,162,0,0
ch1_20150902_230432_765_s38.jpg,527,0,541,162,1,5
ch1_20150902_230432_765_s38.jpg,786,0,802,162,1,4
ch1_20150902_230432_765_s38.jpg,860,0,870,162,0,0
ch1_20150902_230432_765_s38.jpg,891,0,904,162,0,0
ch1_20150902_230432_765_s38.jpg,951,0,962,162,0,0
ch1_20150902_230432_765_s38.jpg,1046,0,1055,162,0,0
ch1_20150902_230432_765_s38.jpg,462,0,470,162,0,0
ch1_20150902_230432_765_s38.jpg,1229,0,1237,162,0,0
ch1_20170715_122418_144_s66.jpg,659,0,668,162,0,0
ch1_20170702_170622_764_s72.jpg,732,0,741,162,1,1
ch1_20180629_163355_510_s44.jpg,67,0,78,162,0,0
ch1_20180629_163355_510_s44.jpg,143,0,155,162,0,0
ch1_20180629_163355_510_s44.jpg,155,0,162,162,0,0
ch1_20180629_163355_510_s44.jpg,653,0,663,162,0,0
ch1_20180629_163355_510_s44.jpg,369,0,375,162,0,0
ch1_20180629_163355_510_s44.jpg,689,0,698,162,0,0
ch1_20180629_163355_510_s44.jpg,759,0,771,162,0,0
ch1_20180629_163355_510_s44.jpg,894,0,902,162,0,0
ch1_20180629_163355_510_s44.jpg,873,0,881,162,0,0
ch1_20180629_163355_510_s44.jpg,1075,0,1084,162,0,0
ch1_20160802_155938_445_s31.jpg,167,0,175,162,0,0
ch1_20160802_155938_445_s31.jpg,319,0,325,162,0,0
ch1_20160802_155938_445_s31.jpg,205,0,212,162,0,0
ch1_20160802_155938_445_s31.jpg,1195,0,1203,162,0,0
ch1_20150902_232933_901_s85.jpg,150,0,175,162,1,2
ch1_20150902_232933_901_s85.jpg,64,0,73,162,0,0
ch1_20150902_232933_901_s85.jpg,54,0,65,162,0,0
ch1_20150902_232933_901_s85.jpg,204,0,226,162,0,0
ch1_20150902_232933_901_s85.jpg,300,0,316,162,0,0
ch1_20150902_232933_901_s85.jpg,390,0,405,162,0,0
ch1_20150902_232933_901_s85.jpg,576,0,586,162,0,0
ch1_20150902_232933_901_s85.jpg,725,0,734,162,0,0
ch1_20150902_232933_901_s85.jpg,703,0,717,162,0,0
ch1_20150902_232933_901_s85.jpg,784,0,807,162,1,2
ch1_20150902_232933_901_s85.jpg,827,0,837,162,0,0
ch1_20150902_232933_901_s85.jpg,838,0,848,162,0,0
ch1_20150902_232933_901_s85.jpg,849,0,860,162,0,0
ch1_20150902_232933_901_s85.jpg,920,0,928,162,0,0
ch1_20150902_232933_901_s85.jpg,1045,0,1054,162,0,0
ch1_20150902_232933_901_s85.jpg,1053,0,1066,162,0,0
ch1_20150902_232933_901_s85.jpg,1135,0,1152,162,0,0
ch1_20150902_232933_901_s85.jpg,1066,0,1091,162,1,6
ch1_20150902_232933_901_s85.jpg,1152,0,1161,162,0,0
ch1_20150915_190334_086_s77.jpg,261,0,281,162,0,0
ch1_20150915_190334_086_s77.jpg,928,0,947,162,0,0
ch1_20150915_190334_086_s77.jpg,1176,0,1199,162,0,0
ch1_20150915_190334_086_s77.jpg,1274,0,1296,162,0,0
ch1_20150915_190334_086_s77.jpg,1374,0,1390,162,0,0
ch1_20150915_190334_086_s77.jpg,1327,0,1344,162,0,0
ch1_20150915_190334_086_s77.jpg,1347,0,1363,162,0,0
ch1_20170714_153824_509_s124.jpg,478,0,497,162,1,2
ch1_20170714_153824_509_s124.jpg,612,0,628,162,0,0
ch1_20170714_153824_509_s124.jpg,826,0,843,162,0,0
ch1_20170714_153824_509_s124.jpg,1099,0,1114,162,0,0
ch1_20170714_153824_509_s124.jpg,675,0,688,162,0,0
ch1_20180629_154853_611_s89.jpg,286,0,302,162,0,0
ch1_20180629_154853_611_s89.jpg,517,0,531,162,0,0
ch1_20180629_154853_611_s89.jpg,578,0,593,162,0,0
ch1_20180629_154853_611_s89.jpg,623,0,638,162,0,0
ch1_20180629_154853_611_s89.jpg,1377,0,1391,162,0,0
ch1_20160802_165440_844_s79.jpg,215,0,221,162,0,0
ch1_20160802_165440_844_s79.jpg,39,0,46,162,0,0
ch1_20150914_132212_691_s52.jpg,910,0,920,162,0,0
ch1_20150914_132212_691_s52.jpg,586,0,594,162,0,0
ch1_20150914_132212_691_s52.jpg,1107,0,1115,162,0,0
ch1_20150914_132212_691_s52.jpg,1175,0,1180,162,0,0
ch1_20150914_132212_691_s52.jpg,967,0,974,162,0,0
ch1_20170702_162120_933_s91.jpg,269,0,282,162,0,0
ch1_20170702_162120_933_s91.jpg,759,0,770,162,0,0
ch1_20170702_162120_933_s91.jpg,533,0,544,162,0,0
ch1_20170714_160825_818_s90.jpg,1298,0,1312,162,0,0
ch1_20170714_160825_818_s90.jpg,1388,0,1405,162,0,0
ch1_20170715_124919_208_s126.jpg,1015,0,1021,162,0,0
ch1_20170715_124919_208_s126.jpg,982,0,989,162,0,0
ch1_20180629_162855_294_s8.jpg,291,0,302,162,0,0
ch1_20180629_162855_294_s8.jpg,1366,0,1375,162,0,0
ch1_20180629_162855_294_s8.jpg,1284,0,1294,162,0,0
ch1_20180629_162855_294_s8.jpg,1274,0,1284,162,0,0
ch1_20180629_162855_294_s8.jpg,1244,0,1255,162,0,0
