image,xmin,ymin,xmax,ymax,label,tweek_sign
ch1_20180615_195005_249_s19.jpg,930,0,941,162,1,2
ch1_20150902_232933_901_s85.jpg,150,0,175,162,1,2
ch1_20150902_232933_901_s85.jpg,784,0,807,162,1,2
ch1_20170714_153824_509_s124.jpg,478,0,497,162,1,2
ch1_20180615_203507_097_s55.jpg,245,0,272,162,1,2
ch1_20170730_172907_467_s61.jpg,3,0,13,162,1,2
ch1_20170730_172907_467_s61.jpg,241,0,253,162,1,2
ch1_20150902_231933_448_s105.jpg,319,0,331,162,1,2
ch1_20160814_151726_036_s69.jpg,1202,0,1210,162,1,2
ch1_20180602_203728_547_s22.jpg,1116,0,1139,162,1,2
ch1_20180602_203728_547_s22.jpg,1147,0,1164,162,1,2
ch1_20180602_203728_547_s22.jpg,1193,0,1213,162,1,2
ch1_20160830_193000_969_s2.jpg,790,0,817,162,1,2
ch1_20160830_193000_969_s2.jpg,1148,0,1164,162,1,2
ch1_20160830_193000_969_s2.jpg,1220,0,1241,162,1,2
ch1_20180602_203228_351_s90.jpg,112,0,135,162,1,2
ch1_20180602_211229_947_s86.jpg,859,0,873,162,1,2
ch1_20180615_200005_654_s48.jpg,130,0,162,162,1,2
ch1_20180615_200005_654_s48.jpg,851,0,873,162,1,2
ch1_20180602_212730_544_s44.jpg,1156,0,1184,162,1,2
ch1_20150915_191334_545_s113.jpg,196,0,209,162,1,2
ch1_20150915_191334_545_s113.jpg,614,0,630,162,1,2
ch1_20150915_191334_545_s113.jpg,1274,0,1288,162,1,2
ch1_20180614_120347_066_s134.jpg,1028,0,1050,162,1,2
ch1_20180602_205229_138_s102.jpg,233,0,255,162,1,2
ch1_20150902_230932_991_s81.jpg,785,0,800,162,1,2
ch1_20150902_230932_991_s81.jpg,1279,0,1289,162,1,2
ch1_20180615_202506_686_s20.jpg,577,0,605,162,1,2
ch1_20160830_191500_286_s90.jpg,326,0,346,162,1,2
ch1_20160830_191500_286_s90.jpg,444,0,467,162,1,2
ch1_20160830_191500_286_s90.jpg,1117,0,1134,162,1,2
ch1_20150915_185833_856_s43.jpg,725,0,733,162,1,2
ch1_20180615_200005_654_s100.jpg,156,0,180,162,1,2
ch1_20180615_200005_654_s100.jpg,99,0,124,162,1,2
ch1_20180615_200005_654_s100.jpg,58,0,79,162,1,2
ch1_20180615_200005_654_s100.jpg,805,0,832,162,1,2
ch1_20180615_200005_654_s100.jpg,256,0,281,162,1,2
ch1_20160815_202845_581_s142.jpg,299,0,321,162,1,2
ch1_20160815_202845_581_s142.jpg,264,0,286,162,1,2
ch1_20180602_211229_947_s144.jpg,486,0,496,162,1,2
ch1_20180602_211229_947_s144.jpg,1301,0,1315,162,1,2
ch1_20180602_205729_347_s132.jpg,237,0,268,162,1,2
ch1_20180602_212730_544_s102.jpg,1205,0,1221,162,1,2
ch1_20180615_203006_889_s136.jpg,601,0,620,162,1,2
ch1_20180615_203006_889_s136.jpg,712,0,734,162,1,2
ch1_20180615_203006_889_s136.jpg,658,0,676,162,1,2
ch1_20180602_210729_749_s54.jpg,133,0,167,162,1,2
ch1_20150902_230932_991_s81.jpg,18,0,39,162,1,2
ch1_20170730_171907_076_s111.jpg,79,0,98,162,1,2
ch1_20180615_200005_654_s100.jpg,801,0,826,162,1,2
ch1_20160815_203846_040_s23.jpg,228,0,244,162,1,2
ch1_20180602_212230_349_s47.jpg,48,0,72,162,1,2
ch1_20150915_191834_773_s119.jpg,594,0,621,162,1,2
ch1_20180614_121847_682_s114.jpg,207,0,222,162,1,2
ch1_20150902_235935_260_s133.jpg,1225,0,1255,162,1,2
ch1_20160830_195001_847_s93.jpg,887,0,909,162,1,2
ch1_20160815_205346_718_s3.jpg,207,0,222,162,1,2
ch1_20180602_205229_138_s66.jpg,905,0,924,162,1,2
ch1_20160830_194001_403_s132.jpg,318,0,330,162,1,2
ch1_20180615_202506_686_s84.jpg,172,0,202,162,1,2
ch1_20180615_200505_862_s39.jpg,18,0,36,162,1,2
ch1_20180615_200505_862_s39.jpg,472,0,492,162,1,2
ch1_20180615_200505_862_s39.jpg,98,0,120,162,1,2
ch1_20180615_200505_862_s39.jpg,291,0,314,162,1,2
ch1_20180615_200505_862_s39.jpg,554,0,568,162,1,2
ch1_20150902_234434_583_s84.jpg,687,0,718,162,1,2
ch1_20150902_234434_583_s84.jpg,549,0,577,162,1,2
ch1_20180615_202006_477_s55.jpg,537,0,559,162,1,2
ch1_20180615_202006_477_s55.jpg,575,0,594,162,1,2
ch1_20180615_202006_477_s55.jpg,1273,0,1296,162,1,2
ch1_20150915_193835_683_s73.jpg,972,0,1000,162,1,2
ch1_20180602_205229_138_s103.jpg,821,0,845,162,1,2
ch1_20150902_235935_260_s70.jpg,960,0,970,162,1,2
ch1_20180615_201006_070_s48.jpg,735,0,757,162,1,2
ch1_20150927_142135_218_s67.jpg,724,0,738,162,1,2
ch1_20150927_142135_218_s67.jpg,763,0,776,162,1,2
ch1_20150902_230432_765_s51.jpg,1329,0,1347,162,1,2
ch1_20180602_205729_347_s62.jpg,887,0,913,162,1,2
ch1_20180615_195005_249_s141.jpg,276,0,291,162,1,2
ch1_20160815_210347_173_s54.jpg,1068,0,1100,162,1,2
ch1_20170715_124919_208_s110.jpg,1036,0,1053,162,1,2
ch1_20160830_195502_059_s60.jpg,663,0,681,162,1,2
ch1_20160830_195502_059_s60.jpg,968,0,985,162,1,2
ch1_20160830_195502_059_s34.jpg,1211,0,1232,162,1,2
ch1_20160830_195502_059_s34.jpg,1402,0,1418,162,1,2
ch1_20150915_184833_399_s111.jpg,363,0,380,162,1,2
ch1_20180602_212730_544_s135.jpg,1007,0,1043,162,1,2
ch1_20180602_212730_544_s135.jpg,1091,0,1127,162,1,2
ch1_20180602_212730_544_s135.jpg,1148,0,1178,162,1,2
ch1_20180602_212730_544_s135.jpg,1058,0,1080,162,1,2
ch1_20180602_211730_150_s120.jpg,291,0,306,162,1,2
ch1_20180602_211730_150_s120.jpg,346,0,358,162,1,2
ch1_20180615_195505_452_s122.jpg,706,0,747,162,1,2
ch1_20160830_191000_059_s9.jpg,509,0,522,162,1,2
ch1_20160815_210347_173_s54.jpg,309,0,332,162,1,2
ch1_20160815_210347_173_s17.jpg,1278,0,1304,162,1,2
ch1_20180602_204228_741_s108.jpg,426,0,446,162,1,2
ch1_20180602_212730_544_s135.jpg,1011,0,1046,162,1,2
